TroubleTicketing_4-Feb-2026_12-43-47Ticket Id,Site Id,Site Name,Dependent Sites,Site Class,Site Class Code,Anchor Opco Site id,Power Model,Region,District,Power Vendor,Site Area Type,Vendor,Operator Parameter,Operator Exempted,Alarm Description,Equipment,Alarm Start Date Time,Alarm End Date Time,Problem Start Date,Problem End Date,Ticket Log Date,Logged By,Operator,Ticket Closure Date,Assigned To,Ticket Hierarchy,Digitally Dispatch,Contact No.,Assigned Date,Closed By,Total Duration,Duration,Operator SLA,Vendor SLA,SLA Remaining Time Operator,SLA Remaining Time Vendor,Alarm Status,Ticket Treatment,Ticket Status,Severity,Current Level,ETA (Mins.),ETA Time,ETR (Mins.),ETR Time,RCA Category,RCA Sub Category,RCA,Ref Ticket ID,Remarks,Alarm Detail,Problem Description,Ticket Type,Ticket Mode,Total Effected Duration,Effected Sites,Battery Discharge Start Date Time,Spare Parts,Battery Backup Duration,DG Night Time Restriction (HH:MM),Site Latitude,Site Longitude,User Lat,User Long,Distance (Kms.),DG Meter Reading,Grid Meter Reading,Fuel Level,Action Taken,Service Type,Parent Ticket Id,Refer Count,Hub Site Id,Child Ticket Count,PR No,Abstract,Service Impacted,Service Impact Start,Services Affected,Initial Analysis,X-References,TwoG Node,ThreeG Node,LTE,IP Site,Originator Id,Originator Group,Last Referred Group,Reffered to Group,RTTS Clear Group,Action,Status Reason,RTTS Opr Site Id,Fault Area,Fault Area Detail,Resolution Method,Node,Network,Site Location,Solution Details,Restoration Approval Time,Restoration Time,Approval Time,Approval Resolve Time,NET Resolution Time,Severity Change Time,Generator Asset Id,Priority,Delay Reason,TT Response Time,undefined,undefined,undefined,Hub Time(HH:MM),RTTS Ticket Create Date,Severity Change Remarks
"TT00709219","1000060","ZRI108","ST(PG)","Metro","Classic","ZRI108","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Battery High Voltage","Battery","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:38:52","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:38:52","","21 Day(s) 22:11:01","526","STC-No      ","No","-21 Day(s) 10:11:00      ","-21 Day(s) 10:11:00","Open","Standard","Assign","Medium","Third Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","21 Day(s) 22:11:01","1","","","","","24.75373","46.8731","","","","","","","","Metro","","1","HSID1","","","","Degraded","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709221","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 2 Running","General","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:38:54","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:38:54","","21 Day(s) 22:11:01","526","STC-No      ","No","-19 Day(s) 22:11:00      ","-19 Day(s) 22:11:00","Open","Standard","Assign","Low","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","21 Day(s) 22:11:01","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","No","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709320","1012750","ZTFA021","ST,SM(PG)","Metro,Unknown","Classic","ZTFA021","Grid","West","Taif","Nokia-PV","Urban","Ericsson","","","Door Alarm","General","03-Jul-2021 14:14:11","","03-Jul-2021 14:14","","21-Jan-2026 16:34:53","System","STC,Salam","","TWL-EM-WEST Velmurugan Sundaram","Parent","","509845430","21-Jan-2026 16:34:53","","1676 Day(s) 22:30:50","40247","STC-No      ","No","-1676 Day(s) 17:30:49      ","-1676 Day(s) 17:30:49","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1676 Day(s) 22:30:50","1","","","","","21.27264","40.42402","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709549","1000196","ZRH200","ST(PG)","Metro","Classic","ZRH200","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Fire Alarm","General","13-Jan-2026 10:34:00","","13-Jan-2026 10:34","","29-Jan-2026 16:32:59","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","29-Jan-2026 16:32:59","","22 Day(s) 02:11:01","530","STC-No      ","No","-21 Day(s) 21:11:00      ","-21 Day(s) 21:11:00","Open","Standard","Assign","Critical","Assignment","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","22 Day(s) 02:11:01","1","","","","","24.75055","46.66162","","","","","","","","Metro","","1","HSID1","","","","Degraded","13-Jan-2026 10:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709607","1000135","ZBR153","ST,ZN,MB,BR(PG)","Unknown,Metro","Classic","ZBR153","Grid","Central","Qassim","Ericsson-PV","Rural","In-House","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","30-Jan-2026 12:15","","30-Jan-2026 12:15:35","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","","3rd Escalation ","Parent","","","30-Jan-2026 12:15:35","","5 Day(s) 00:30:01","121","STC-No      ","No","-4 Day(s) 19:30:00      ","-4 Day(s) 19:30:00","","Standard","Assign","Critical","Assignment","10","30-Jan-2026 12:16:56","30","30-Jan-2026 12:16:56","","","","","reassigned","","","Incident","Manual","5 Day(s) 00:30:01","1","","","","","26.02618","42.59135","","","","","","","","Metro","","1","","","","","Outage","30-Jan-2026 12:14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709610","1000135","ZBR153","ST,ZN,MB,BR(PG)","Unknown,Metro","Classic","ZBR153","Grid","Central","Qassim","Ericsson-PV","Rural","In-House","Bravo,Mobily,STC,Zain","","Acu Fault (Itc)","General","","","30-Jan-2026 12:20","","30-Jan-2026 12:20:29","Super Admin  - 9898976789(superadmin)","Bravo,Mobily,STC,Zain","","3rd Escalation ","Parent","","","30-Jan-2026 12:20:30","","5 Day(s) 00:25:01","120","STC-No      ","No","-4 Day(s) 19:25:00      ","-4 Day(s) 19:25:00","","Standard","Assign","Critical","Assignment","","","","","","","","","","","","Incident","Manual","5 Day(s) 00:25:01","1","","","","","26.02618","42.59135","","","","","","","","Metro","","1","","","","","Outage","30-Jan-2026 12:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709684","1000002","Udhailiyah-GOSP12","ST(PG)","Remote,Metro","Classic","ZRY336","Hybrid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Stc Rtts","AC Meter","","","02-Feb-2026 19:15","03-Feb-2026 11:36","02-Feb-2026 21:46:00","RTTS","STC","03-Feb-2026 11:38:37","TWL_South super admin ","Parent","","9898976789","02-Feb-2026 21:58:16","RTTS","16:21:00","16","-      ","","      ","","","Standard","Closed","Low","Assignment","","","","","Access-Module/Cable","GE/FE-Module/cable Faulty","Test","","1111","","","RTTS Ticket","Integration","00:00:00","0","","","","","24.7202","46.6569","","","","value","value","value","Action Taken","Metro","","1","","","RTTS415","Tawal Test Ticket_011","Degraded","02-FEB-2026 19:15:19","FTTH","","","1","1","11","1","1001","112","TWL_SREriE&M","TWL_SREriE&M","TWL_SREriE&M","","Final","ZRY336","Access PtMP","AP has gone down(Sector is down)","Cable damaged by Fire","","MOBILE","","aa","03-Feb-2026 11:15:49","00:29","00:03","00:20","00:49","","","P1","","","Restoration","794.5","20.27","16.35","11-Sep-2024 14:32:06","",
"TT00709282","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 03:29:33","","03-Jul-2021 03:29","","21-Jan-2026 16:34:44","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:44","","1677 Day(s) 09:15:28","40257","STC-No      ","No","-1677 Day(s) 02:15:27      ","-1677 Day(s) 02:15:27","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1677 Day(s) 09:15:28","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709409","1000001","Rubeen Plaza","ST(2DG)","Unknown","Classic","100001STC","Dual Generator","Central","Riyadh City","Huawei-PV","Unknown","In-House","STC","","Acmeternotresponding","HO - AC power supply","25-Jan-2026 16:40:00","","25-Jan-2026 16:40","","25-Jan-2026 16:40:48","Super Admin  - 9898976789(superadmin)","STC","","TWL-EM-CENTER ","Child","","","25-Jan-2026 18:09:25","","9 Day(s) 20:05:01","236","-      ","No","      ","-9 Day(s) 15:05:00","Open","Standard","Assign","Critical","First Escalation","","","","","","","","","test done","test done","","Incident","Manual","9 Day(s) 20:05:01","1","","","","","24.7524","46.6255","","","","","","","","Metro","TT00709410","1","","","","","Outage","25-Jan-2026 14:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709727","1000191","Z51005","ST","Major Remote","Classic","Z51005","Dual Generator","East","Jouf","Huawei-PV","Rural","Ericsson","STC","","Fire Alarm","General","13-Jan-2026 11:39:00","","13-Jan-2026 11:39","","03-Feb-2026 14:56:55","Super Admin  - 9898976789(superadmin)","STC","","3rd Escalation ","Parent","","","03-Feb-2026 16:43:50","","22 Day(s) 01:06:01","529","STC-No      ","No","-21 Day(s) 20:06:00      ","-21 Day(s) 20:06:00","Open","Standard","Assign","Critical","Assignment","10","03-Feb-2026 16:43:45","30","03-Feb-2026 16:43:45","","","","","reassigned","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","22 Day(s) 01:06:01","1","","","","","30.0086","39.159142","","","","","","","","Major Remote","","2","HSID1","","","","Degraded","13-Jan-2026 10:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00708798","1000007","PNJ789","ST(PG)","Metro","Classic","PNJ789","Private Source","West","Jeddah","Ericsson-PV","Urban","Ericsson","STC","","Ac Meter Not Responding","AC Meter","04-Dec-2025 15:29:00","","04-Dec-2025 15:29","","04-Dec-2025 15:29:24","Super Admin  - 9898976789(superadmin)","STC","","2nd Escalation ","Child","","","04-Dec-2025 15:29:24","","61 Day(s) 21:16:01","1485","STC-No      ","No","-61 Day(s) 09:16:00      ","-61 Day(s) 09:16:00","Open","Standard","Assign","Medium","Third Escalation","","","","","","","","","","","","Incident","Manual","61 Day(s) 21:16:01","1","","","","","21.764683","39.169669","","","","","","","","Metro","TT00708799","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00708968","1000028","PBH010","ST(PG)","Metro","Classic","PBH010","Grid","South","Bahah","Ericsson-PV","Urban","Nokia","","","Door Alarm(Hajj)","General","11-Dec-2025 20:26:39","11-Dec-2025 20:28:12","11-Dec-2025 20:26","11-Dec-2025 20:28","11-Dec-2025 20:27:01","System","STC","","TWL-EM-SOUTH Elsaeed Fekry Mohammed","Parent","","543527480","11-Dec-2025 20:27:01","System","00:01:33","0","STC-Yes      ","Yes","04:58:27      ","04:58:27","Closed","Standard","Assign","Critical","First Escalation","","","","","","","","","","Door Alarm(Hajj)","","Incident","Auto","00:01:33","1","","","","","20.02137","41.4589","","","","","","","","Metro","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","00:00","","","P0","","","","","","","","",
"TT00709123","1000057","ZWJ022","ST(PG)","Metro","Classic","ZWJ022","Grid","West","Tabuk","Ericsson-PV","SubUrban","Huawei","STC","","Door Alarm","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:49","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Child","","9898976789","30-Dec-2025 15:53:49","","36 Day(s) 12:45:01","877","STC-No      ","No","-36 Day(s) 07:45:00      ","-36 Day(s) 07:45:00","Open","Standard","Assign","Critical","Assignment","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description from bulk upload","Incident","Manual","36 Day(s) 12:45:01","1","","","","","26.26056","36.44891","","","","","","","","Metro","TT00709124","1","HSID1","","","","No","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709196","1000057","ZWJ022","ST(PG)","Metro","Classic","ZWJ022","Grid","West","Tabuk","Ericsson-PV","SubUrban","Huawei","STC","","Air Condition 1 Fault","General","13-Jan-2026 14:34:00","","13-Jan-2026 14:34","","13-Jan-2026 14:35:28","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","13-Jan-2026 14:35:28","","21 Day(s) 22:11:01","526","STC-No      ","","-21 Day(s) 22:03:00      ","","Open","Standard","Assign","Critical","First Escalation","","","","","","","","","","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","21 Day(s) 22:11:01","1","","","","","26.26056","36.44891","","","","","","","","Metro","","1","HSID1","5","","","Outage","13-Jan-2026 14:34","","","","","","","","","","","","","","","","","","","","","","","","","","","","13-Jan-2026 14:38:59","","P0","","","","","","","","Severity changed from High to Critical due to Parent-Child relationship  of TT00709194 as child. ",
"TT00709400","1000010","ZMD138","ST","Remote","Classic","ZMD138","Hybrid","West","Madinah","Ericsson-PV","Unknown","Nokia","","","Door Alarm","General","25-Jan-2026 11:51:13","","25-Jan-2026 11:51","","25-Jan-2026 11:55:48","System","STC","","TWL-EM-WEST Mohammed Asker","Parent","","583689591","25-Jan-2026 11:55:48","","10 Day(s) 00:53:47","241","STC-No      ","No","-9 Day(s) 17:53:47      ","-9 Day(s) 17:53:47","Open","Standard","Assign","Critical","Second Escalation","","","","","","","","","","DOOR ALARM","","Incident","Auto","10 Day(s) 00:53:47","1","","","","","24.63842","40.31034","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709130","1000061","ZRH326","ST(PG)","Metro","Classic","ZRH326","Grid","Central","Riyadh City","Ericsson-PV","Urban","Ericsson","STC","","Generator 1 Running","General","30-Dec-2025 00:00:00","","30-Dec-2025 00:00","","30-Dec-2025 15:53:56","Super Admin  - 9898976789(superadmin)","STC","","Field User super admin ","Parent","","9898976789","30-Dec-2025 15:53:56","","36 Day(s) 12:45:01","877","STC-No      ","No","-34 Day(s) 12:45:00      ","-34 Day(s) 12:45:00","Open","Standard","Assign","Low","First Escalation","","","","","","","","","Remarks added","Alarm Detail From Bulk Upload","Problem Description From Bulk Upload","Incident","Manual","36 Day(s) 12:45:01","1","","","","","24.83019","46.61076","","","","","","","","Metro","","1","HSID1","","","","Degraded","30-Dec-2025 00:00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P1","","","","","","","","",
"TT00709276","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","STC","","Door Alarm","General","03-Jul-2021 03:20:38","","03-Jul-2021 03:20","","21-Jan-2026 16:34:43","System","STC",""," ","Parent","","","23-Jan-2026 14:15:38","","1677 Day(s) 09:25:01","40257","STC-No      ","No","-1677 Day(s) 02:25:00      ","-1677 Day(s) 02:25:00","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","Remarks added","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1677 Day(s) 09:25:01","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","HSID1","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
"TT00709280","1000642","ZBG007","ST(PG)","Remote","Golden","ZBG007","Grid","South","Asir","Nokia-PV","SubUrban","Ericsson","","","Door Alarm","General","03-Jul-2021 03:24:52","","03-Jul-2021 03:24","","21-Jan-2026 16:34:43","System","STC","","TWL-EM-SOUTH Hamada Sobhy Mohamed Habib","Parent","","537712218","21-Jan-2026 16:34:43","","1677 Day(s) 09:20:09","40257","STC-No      ","No","-1677 Day(s) 02:20:08      ","-1677 Day(s) 02:20:08","Closed","Standard","Assign","Critical","Third Escalation","","","","","","","","","","Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm,Door Alarm","","Incident","Auto","1677 Day(s) 09:20:09","1","","","","","18.95431","41.94457","","","","","","","","Remote","","1","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P0","","","","","","","","",
